"NEXUS","Customer Flying History","09/07/2018",
"     ","",
"Customer Name","Route","Departure","Departure","A/C","Rotation",
"","","Date","Time","","",
 
"NEXUS FLIGHT OPERATIONS SERVICES","3664","06/04/2017","17:05","ADH","JED-DXB-CEB",
"NEXUS FLIGHT OPERATIONS SERVICES","3687","04/01/2017","17:05","ADH","MRU-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","3705","11/01/2017","04:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3709","09/01/2017","03:55","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3714","09/01/2017","20:05","ADH","JED-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","3716","11/01/2017","05:30","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","3719","01/02/2017","01:50","ADH","DMM-DOH-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3720","12/01/2017","06:00","ADH","MUX-DOH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3727","06/03/2017","16:35","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3733","12/01/2017","04:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3734","13/01/2017","12:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3737","29/01/2017","14:00","ERJ","JED-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3740","09/07/2017","18:15","ADH","AMM-DOH-KUL-DOH-AMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3741","09/02/2017","01:20","ADH","IXU-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3755","17/01/2017","03:10","ADH","JED-RUH-DMM-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3766","18/01/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3769","28/01/2017","10:50","ADH","AMS-FCO-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3775","18/01/2017","15:30","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3777","20/01/2017","04:00","ADH","JED-RUH-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3780","01/02/2017","01:15","ADH","DMM-DXB-NBO",
"NEXUS FLIGHT OPERATIONS SERVICES","3782","14/02/2017","02:30","ADH","JED-AUH-BLR-AUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3788","23/01/2017","15:00","ADH","RUH-JED-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3790","25/01/2017","04:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3794","07/02/2017","16:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3804","01/02/2017","16:00","ADH","BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3812","21/01/2017","16:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3817","10/03/2017","11:10","ADH","JED-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3825","28/01/2017","19:45","ADH","DMM-AUH-CCJ-AUH-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3846","04/02/2017","08:20","ADH","DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3847","11/02/2017","09:00","ADH","DXB-DMK-MNL-KUL-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","3848","11/02/2017","08:00","ADH","DXB-HYD-DMK-MNL-KUL-HYD-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","3863","05/02/2017","01:30","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3868","13/02/2017","19:45","ADH","JED-MNL-KUL-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3874","16/02/2017","00:55","ERJ","JED-OUA-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3875","15/02/2017","08:00","ERJ","DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3879","19/06/2017","09:00","ERJ","RUH-STN",
"NEXUS FLIGHT OPERATIONS SERVICES","3881","02/03/2017","20:15","ADH","JED-HYD-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3882","19/06/2017","05:55","ERJ","DMM-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","3883","20/06/2017","09:00","ERJ","STN-DHA",
"NEXUS FLIGHT OPERATIONS SERVICES","3885","11/09/2017","11:00","ADH","DMM-GVA",
"NEXUS FLIGHT OPERATIONS SERVICES","3889","10/02/2017","02:40","ADH","JED-DXB-BUD-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3891","06/04/2017","23:10","ADH","JED-MCT-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3893","17/02/2017","06:30","ADH","LHR-FRA-JED-FRA-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","3894","13/02/2017","04:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3895","12/02/2017","04:00","ADH","JED-AHB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3896","15/02/2017","20:55","ADH","DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3901","13/02/2017","03:45","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3908","26/03/2017","18:10","ADH","JED-AUH-MAN-AUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3913","13/04/2017","04:10","ADH","RUH-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3914","18/02/2017","01:25","ADH","JED-DOH-MLE-DOH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3921","02/09/2017","12:30","ADH","JED-IST-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3926","18/02/2017","16:30","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3931","18/02/2017","22:40","ADH","JED-NBO-KGL",
"NEXUS FLIGHT OPERATIONS SERVICES","3938","22/02/2017","08:00","ADH","DXB-DXB-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","3939","22/02/2017","08:00","ADH","DXB-DXB-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","3941","19/02/2017","01:25","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3952","22/02/2017","04:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3956","27/02/2017","12:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3958","11/04/2017","01:15","ADH","JED-DOH-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","3962","26/02/2017","12:40","ADH","HYD-BOM-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3975","27/02/2017","13:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","3976","27/02/2017","12:50","ADH","RUH-BAH-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","3983","27/02/2017","04:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3989","26/02/2017","16:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3993","28/02/2017","06:30","ADH","RUH-DMM-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","3995","28/02/2017","06:40","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","3997","02/03/2017","09:15","ADH","TUU-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","3999","02/03/2017","15:50","ADH","DMM-BAH-MNL-BAH-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4001","04/03/2017","05:50","ADH","JED-MUX",
"NEXUS FLIGHT OPERATIONS SERVICES","4004","07/02/2017","06:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4009","07/03/2017","08:05","ADH","JED-DXB-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4019","05/03/2017","01:15","ADH","DMM-MCT-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4021","05/03/2017","15:50","ADH","BOM-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4024","06/03/2017","20:15","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4025","06/03/2017","20:15","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4034","06/03/2017","20:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4038","18/03/2017","02:15","ADH","JED-JFK-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4047","26/04/2017","01:15","ADH","DMM-MCT-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4056","11/03/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4077","12/03/2017","20:15","ADH","JED-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4079","18/03/2017","22:40","ADH","HYD-DXB-JFK-DXB-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4090","14/03/2017","20:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4108","26/03/2017","12:40","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4113","20/03/2017","15:00","ADH","RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4125","22/03/2017","16:15","ADH","VIE-LHR-VIE",
"NEXUS FLIGHT OPERATIONS SERVICES","4145","26/03/2017","15:45","ADH","JED-DOH-MAN-DOH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4162","28/03/2017","20:30","ADH","JED-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4165","01/05/2017","13:00","ADH","DXB-DMK-MNL-DMK-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4166","12/04/2017","00:40","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4169","04/04/2017","06:00","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4171","28/03/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4181","30/03/2017","04:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4185","03/04/2017","05:30","ADH","LHR-FRA-JED-DMM-JED-FRA-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","4192","30/03/2017","04:50","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4199","02/04/2017","00:40","ADH","DMM-MCT-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4219","20/04/2017","21:40","ADH","DMM-FRA-AMS-FRA-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4223","09/04/2017","01:20","ADH","DMM-DXB-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4234","04/04/2017","20:30","ADH","JED-BOM-JED",
